brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Adobe InDesign	207360200	075603217,075690411,207360200	3
Publisher	207360618	075603217,075690411,207360618	3
Flash 5	215172248	075603217,075690411,215172248	3
Adobe Fireworks	227416767	075603217,075690411,227416767	3
Powerpoint 2002	238717844	075603217,075690411,238717844	3
Flash MX	238925471	075603217,075690411,238925471	3
DrawPerfect	242191630	075603217,075690411,242191630	3
3D Studio Max	242192572	075603217,075690411,242192572	3
Visio	242941052	075603217,075690411,242941052	3
Powerpoint 2003	258322020	075603217,075690411,258322020	3
Flash MX 2004	258959800	075603217,075690411,258959800	3
Flash 8	294519173	075603217,075690411,294519173	3
Powerpoint 2007	299620158	075603217,075690411,299620158	3
Powerpoint 2010	329030760	075603217,075690411,329030760	3
Flash CS5	329335197	075603217,075690411,329335197	3
Powerpoint 2016	402207440	075603217,075690411,402207440	3
Flash CS3	305656414	075603217,075690411,305656414	3
Flash CS4	31900547X	075603217,075690411,31900547X	3
Picasa	321818199	075603217,075690411,321818199	3
Powerpoint 2013	370594606	075603217,075690411,370594606	3
PC Tools	075687976	075603217,075687976	2
Exact E-Account	145481212	075603217,145481212	2
SPSS	151363641	075603217,151363641	2
Novell NetWare	15417677X	075603217,15417677X	2
groupware	163910707	075603217,163910707	2
Lotus Notes	163910901	075603217,163910707,163910901	3
Outlook 97	164160825	075603217,163910707,164160825	3
Netscape Communicator	164158065	075603217,163910707,164158065	3
Internet Explorer	16415874X	075603217,163910707,16415874X	3
Microsoft Exchange	16415986X	075603217,163910707,16415986X	3
Outlook 98	20263101X	075603217,163910707,20263101X	3
Outlook 2000	202631389	075603217,163910707,202631389	3
Outlook 2002	227395204	075603217,163910707,227395204	3
Outlook 2003	256120447	075603217,163910707,256120447	3
Outlook 2007	299620190	075603217,163910707,299620190	3
Outlook 2010	329131605	075603217,163910707,329131605	3
Outlook 2013	362917124	075603217,163910707,362917124	3
Outlook 2016	400533669	075603217,163910707,400533669	3
FrontPage	18567206X	075603217,18567206X	2
Tactic	186397895	075603217,186397895	2
Netscape Navigator	154304263	075603217,154304263	2
Internet Explorer	16415874X	075603217,16415874X	2
Project	170313581	075603217,170313581	2
BIOS	202473392	075603217,202473392	2
Outlook Express	205439446	075603217,205439446	2
Adobe Dreamweaver	207361231	075603217,207361231	2
Active Server Pages	217668968	075603217,217668968	2
ASP.NET	242889042	075603217,217668968,242889042	3
Adobe GoLive	218193106	075603217,218193106	2
Director	227492722	075603217,227492722	2
computerprogramma's ; muziek	238063003	075603217,238063003	2
Cubase	202176525	075603217,238063003,202176525	3
ASP.NET	242889042	075603217,242889042	2
ActiveX	242889867	075603217,242889867	2
Adobe Acrobat	256120803	075603217,256120803	2
iLife	305125540	075603217,305125540	2
tekstverwerking	07566433X	075603217,07566433X	2
Word 97	176735453	075603217,07566433X,176735453	3
Word 2000	202166791	075603217,07566433X,202166791	3
Word 2002	227410858	075603217,07566433X,227410858	3
Word 2003	260297011	075603217,07566433X,260297011	3
Word 2007	299620174	075603217,07566433X,299620174	3
WordPerfect	075678330	075603217,07566433X,075678330	3
WordStar	075678683	075603217,07566433X,075678683	3
Word	075688557	075603217,07566433X,075688557	3
Word 2010	327939672	075603217,07566433X,327939672	3
Word 2013	357754697	075603217,07566433X,357754697	3
Word 2016	400336758	075603217,07566433X,400336758	3
Joomla!	32926382X	075603217,32926382X	2
compileerprogramma's	075674416	075603217,075674416	2
PASCAL	07566271X	075603217,075674416,07566271X	3
C	07568506X	075603217,075674416,07568506X	3
HyperCard	075688581	075603217,075688581	2
Windows	079591264	075603217,079591264	2
Windows Media Player	321840178	075603217,321840178	2
bedrijfsleven	075600439	075600439	1
publiek-private samenwerking	075687445	075600439,075687445	2
computers	075603225	075603225	1
databanken	075603705	075603225,075603705	2
data mining	203379888	075603225,075603705,203379888	3
microcomputers	075615207	075603225,075615207	2
microcomputers ; software	075661268	075603225,075615207,075661268	3
personal computers	075662809	075603225,075615207,075662809	3
Apple Macintosh	185433235	075603225,075615207,075662809,185433235	4
MSX	075685302	075603225,075615207,075685302	3
personal computers	075662809	075603225,075662809	2
Apple Macintosh	185433235	075603225,075662809,185433235	3
hardware (computers)	075608715	075603225,075608715	2
minicomputers	075615517	075603225,075615517	2
software	07562219X	075603225,07562219X	2
microcomputers ; software	075661268	075603225,07562219X,075661268	3
geïntegreerde software	075690381	075603225,07562219X,075690381	3
Office	159039878	075603225,07562219X,075690381,159039878	4
WordPerfect Office	164161872	075603225,07562219X,075690381,164161872	4
Lotus SmartSuite	184828295	075603225,07562219X,075690381,184828295	4
Office 2000	20262823X	075603225,07562219X,075690381,20262823X	4
Office 95	202625826	075603225,07562219X,075690381,202625826	4
Office 97	202626261	075603225,07562219X,075690381,202626261	4
Works	217666884	075603225,07562219X,075690381,217666884	4
Office XP	229378544	075603225,07562219X,075690381,229378544	4
Office 2003	256120064	075603225,07562219X,075690381,256120064	4
Office 2004	298741369	075603225,07562219X,075690381,298741369	4
Office 2008	310911796	075603225,07562219X,075690381,310911796	4
Office 2010	329335685	075603225,07562219X,075690381,329335685	4
Office 2011	334612969	075603225,07562219X,075690381,334612969	4
Adobe Creative Cloud	397136560	075603225,07562219X,075690381,397136560	4
Framework	075688565	075603225,07562219X,075690381,075688565	4
Symphony	075688905	075603225,07562219X,075690381,075688905	4
Office 2007	302238050	075603225,07562219X,075690381,302238050	4
Adobe Creative Suite	305955403	075603225,07562219X,075690381,305955403	4
SharePoint	329835645	075603225,07562219X,075690381,329835645	4
Office 365	355344319	075603225,07562219X,075690381,355344319	4
Office 2013	357754484	075603225,07562219X,075690381,357754484	4
Office 2016	399876367	075603225,07562219X,075690381,399876367	4
OpenOffice	400798921	075603225,07562219X,075690381,400798921	4
Google Analytics	407341277	075603225,07562219X,075690381,407341277	4
educatieve software (vorm)	083719377	075603225,07562219X,083719377	3
educatieve software	161914527	075603225,07562219X,161914527	3
jeugd-software	161914381	075603225,07562219X,161914381	3
jeugd-software ; informatie - taal	16191537X	075603225,07562219X,161914381,16191537X	4
jeugd-software ; informatie - wereldoriëntatie	161931715	075603225,07562219X,161914381,161931715	4
jeugd-software ; informatie - muziek	162388888	075603225,07562219X,161914381,162388888	4
jeugd-software ; informatie - biologie	163119007	075603225,07562219X,161914381,163119007	4
jeugd-software ; informatie - geschiedenis	165425350	075603225,07562219X,161914381,165425350	4
jeugd-software ; informatie - aardrijkskunde	169933172	075603225,07562219X,161914381,169933172	4
jeugd-software ; spelen	161914152	075603225,07562219X,161914381,161914152	4
jeugd-software ; informatie - natuurwetenschappen	161914411	075603225,07562219X,161914381,161914411	4
jeugd-software ; informatie - spelen	161914438	075603225,07562219X,161914381,161914438	4
jeugd-software ; informatie - computerkunde	162389752	075603225,07562219X,161914381,162389752	4
jeugd-software ; informatie - godsdienst	16592098X	075603225,07562219X,161914381,16592098X	4
jeugd-software ; informatie - rekenen	168685213	075603225,07562219X,161914381,168685213	4
jeugd-software ; verhalen	180645943	075603225,07562219X,161914381,180645943	4
jeugd-software ; informatie - verkeer/vervoer	183375580	075603225,07562219X,161914381,183375580	4
jeugd-software ; informatie - creatieve vaardigheden	191719706	075603225,07562219X,161914381,191719706	4
jeugd-software ; informatie - techniek	21263688X	075603225,07562219X,161914381,21263688X	4
jeugd-software ; informatie - kunst	296470341	075603225,07562219X,161914381,296470341	4
Microsoft .NET	242660312	075603225,07562219X,242660312	3
open source	256576556	075603225,07562219X,256576556	3
WordPress	375441891	075603225,07562219X,256576556,375441891	4
middleware	252144422	075603225,07562219X,252144422	3
apps	36341925X	075603225,07562219X,36341925X	3
huiscomputers	075659751	075603225,075659751	2
computers ; randapparatuur	075664348	075603225,075664348	2
beeldschermen	075600579	075603225,075664348,075600579	3
dvd's	238358194	075603225,075664348,238358194	3
cd-roms	075679248	075603225,075664348,075679248	3
cd-r	207291675	075603225,075664348,075679248,207291675	4
MSX	075685302	075603225,075685302	2
computerarchitectuur	302322469	075603225,302322469	2
diplomatie	075604191	075604191	1
vredesmissies	331370514	075604191,331370514	2
dirigeren	075604205	075604205	1
concentratiekampen	075603241	075603241	1
concerten	07560325X	07560325X	1
discriminatie	075604221	075604221	1
antisemitisme	075599260	075604221,075599260	2
positieve discriminatie	075686708	075604221,075686708	2
bedrijfssluitingen	075600463	075600463	1
dissidenten	07560423X	07560423X	1
politieke dissidenten	075618982	07560423X,075618982	2
concordanties	075603276	075603276	1
Bijbel ; concordanties	075657546	075603276,075657546	2
conditietraining	075603292	075603292	1
pilates	269225471	075603292,269225471	2
aerobics	075656620	075603292,075656620	2
consulaten	075603373	075603373	1
consumentenorganisaties	075603381	075603381	1
consumentenaangelegenheden	07560339X	07560339X	1
begraafplaatsen	075600587	075600587	1
grafheuvels	075608154	075600587,075608154	2
begrafenis	075600595	075600595	1
bejaardentehuizen	075600633	075600633	1
bekeringen	075600668	075600668	1
belastingdiensten	075600676	075600676	1
belastinggidsen	075600692	075600692	1
belastingvlucht	075600714	075600714	1
verstandelijk gehandicapten	075606844	075606844	1
aangeboren afwijkingen	075677857	075606844,075677857	2
syndroom van Down	075686880	075606844,075677857,075686880	3
schisis	241392489	075606844,075677857,241392489	3
syndroom van Prader-Willi	291382223	075606844,075677857,291382223	3
syndroom van Sotos	291385893	075606844,075677857,291385893	3
syndroom van Turner	298939150	075606844,075677857,298939150	3
syndroom van Klinefelter	298939673	075606844,075677857,298939673	3
spina bifida	075678985	075606844,075677857,075678985	3
syndroom van Down	075686880	075606844,075686880	2
zwakzinnigheid	075628716	075606844,075628716	2
syndroom van Prader-Willi	291382223	075606844,291382223	2
syndroom van Sotos	291385893	075606844,291385893	2
gehandicaptenzorg	075606860	075606860	1
verstandelijk gehandicaptenzorg	075628724	075606860,075628724	2
emancipatie	07560521X	07560521X	1
mannenemancipatie	075614588	07560521X,075614588	2
vrouwenemancipatie	075626608	07560521X,075626608	2
feminisme	07560597X	07560521X,075626608,07560597X	3
emancipatiebeleid	075658860	07560521X,075658860	2
onderwijs en emancipatie	075661934	07560521X,075661934	2
emblemata	075605228	075605228	1
bergingswezen	075600811	075600811	1
gelaatkunde	075606933	075606933	1
encyclieken	075605279	075605279	1
encyclopedie	075605287	075605287	1
beroepskeuze	075600854	075600854	1
encyclopedieën	075605295	075605295	1
Bijbel ; encyclopedieën	075657554	075605295,075657554	2
energiebronnen	075605317	075605317	1
beroepsverboden	075600870	075600870	1
geldwezen	07560700X	07560700X	1
besliskunde	075600897	075600897	1
geloof	075607034	075607034	1
evolutie en geloof	075658984	075607034,075658984	2
geloofsbelijdenis	075607042	075607042	1
geloofsleven	075607050	075607050	1
geloofsvervolgingen	075607069	075607069	1
geluidsapparatuur	075607077	075607077	1
geluidsboxen	075607085	075607077,075607085	2
afspeelapparatuur	075613387	075607077,075613387	2
cassetterecorders	075602601	075607077,075613387,075602601	3
bandrecorders	07560020X	075607077,075613387,07560020X	3
grammofoons	075608235	075607077,075613387,075608235	3
videorecorders	075625946	075607077,075613387,075625946	3
dvd's	238358194	075607077,075613387,238358194	3
microfoons	075615231	075607077,075615231	2
versterkers	075625830	075607077,075625830	2
stereoapparatuur	07563547X	075607077,07563547X	2
opname apparatuur	07566206X	075607077,07566206X	2
cassetterecorders	075602601	075607077,07566206X,075602601	3
bandrecorders	07560020X	075607077,07566206X,07560020X	3
videorecorders	075625946	075607077,07566206X,075625946	3
erfelijkheid	075605406	075605406	1
bomenteelt	075601745	075601745	1
ergonomie	075605422	075605422	1
erosie	075605430	075605430	1
bont	075601761	075601761	1
ertsen	075605457	075605457	1
eschatologie	075605465	075605465	1
chiliasme	075658097	075605465,075658097	2
genealogie	075607182	075607182	1
geneeskunde	075607204	075607204	1
antroposofische geneeskunde	075599309	075607204,075599309	2
urologie	075601419	075607204,075601419	2
bedplassen	075657295	075607204,075601419,075657295	3
incontinentie	075659921	075607204,075601419,075659921	3
prostaatkanker	075663139	075607204,075601419,075663139	3
blaaskanker	263505294	075607204,075601419,263505294	3
chirurgie	07560289X	075607204,07560289X	2
amputaties	075599023	075607204,07560289X,075599023	3
neurochirurgie	075651378	075607204,07560289X,075651378	3
kaakchirurgie	075660164	075607204,07560289X,075660164	3
hartchirurgie	075665980	075607204,07560289X,075665980	3
longchirurgie	075666030	075607204,07560289X,075666030	3
plastische chirurgie	075618818	075607204,07560289X,075618818	3
oncologische chirurgie	37834823X	075607204,07560289X,37834823X	3
traumatologie	075688409	075607204,07560289X,075688409	3
whiplash	148619576	075607204,07560289X,075688409,148619576	4
dwarslaesie	236273361	075607204,07560289X,075688409,236273361	4
orthopedische chirurgie	370853911	075607204,07560289X,370853911	3
bedrijfsgeneeskunde	075600390	075607204,075600390	2
diergeneeskunde	075604132	075607204,075604132	2
veeziekten	075625296	075607204,075604132,075625296	3
vogelziekten	075665069	075607204,075604132,075665069	3
huisdiergeneeskunde	075659824	075607204,075604132,075659824	3
gerechtelijke geneeskunde	075607360	075607204,075607360	2
geriatrie	075607417	075607204,075607417	2
psychogeriatrie	075607425	075607204,075607417,075607425	3
interne geneeskunde	07561040X	075607204,07561040X	2
cardiologie	075658003	075607204,07561040X,075658003	3
bloedvatenstelsel	075601486	075607204,07561040X,075658003,075601486	4
hart- en vaatziekten	075608774	075607204,07561040X,075658003,075608774	4
aderverkalking	075598558	075607204,07561040X,075658003,075608774,075598558	5
hartritme(stoornissen)	075659697	075607204,07561040X,075658003,075608774,075659697	5
hartfalen	267179693	075607204,07561040X,075658003,075608774,267179693	5
echocardiografie	089406516	075607204,07561040X,075658003,089406516	4
elektrocardiografie	075688913	075607204,07561040X,075658003,075688913	4
kwakzalverij	075612887	075607204,075612887	2
